,Unnamed: 0,trn_loss,val_loss,val_rel_err,val_rel_err_o,val_rel_err_h
0,0.0,0.0198091074255031,0.0107115132616392,0.0953663272363978,0.0919735822999839,0.0955158036758791
1,1.0,0.0074618538877403,0.0050712876054772,0.0628068564622504,0.0664557775104925,0.0626460882868001
2,2.0,0.004735232815285,0.0042388224616295,0.054818420177262,0.0592447232341847,0.0546234021354778
3,3.0,0.0041738748602379,0.0037213151771298,0.0500813034459514,0.052129189191087,0.0499910747231678
4,4.0,0.0036725393673711,0.0030379149194123,0.0442429034816538,0.0471294805042616,0.0441157233503503
5,5.0,0.002595045181743,0.0020709387999621,0.0366745729135639,0.0375240252960083,0.0366371469751175
6,6.0,0.0017324038509854,0.0014732096472556,0.0289555947698758,0.0298486950403681,0.0289162453460309
7,7.0,0.0013677140115976,0.0012700721339749,0.0256378972534522,0.0263375550339902,0.025607070719889
8,8.0,0.0011847500448413,0.0010953008526935,0.0239861527687632,0.0235467891521193,0.0240055098806341
9,9.0,0.0010358449271204,0.0009631387231093,0.0228990859341081,0.0222112451623998,0.0229293909097079
10,10.0,0.0009226531023231,0.0008556311481322,0.0222663484347472,0.021862544914995,0.0222841386740446
11,11.0,0.0008200811847503,0.0008358052263113,0.0229946713379577,0.0225101552744293,0.0230160179823378
12,12.0,0.0007285353885986,0.0006892701464194,0.0202915179303582,0.019233037162773,0.0203381529665665
13,13.0,0.0007201039934702,0.0006243063741962,0.0193711521862662,0.018101697009327,0.0194270826324183
14,14.0,0.0006003862859476,0.0005699219469022,0.0186129637508291,0.0172048256815089,0.0186750043081945
15,15.0,0.0006153321296227,0.0006107356510372,0.0193065284368549,0.0173325773527163,0.0193934978401058
16,16.0,0.0005280530795868,0.0004878736121696,0.0171193267482633,0.0152233780332265,0.0172028594014626
17,17.0,0.0004759076166999,0.0004501208314642,0.0164580944398971,0.0144402770936415,0.0165469968276905
18,18.0,0.0004941311343203,0.0005056006336709,0.0183263702060558,0.0162173973827149,0.0184192885664942
19,19.0,0.0004283255196552,0.0003940437296851,0.0153644783982414,0.0130314334126516,0.0154672691780988
20,20.0,0.000399052081818,0.0003712103670804,0.0149951062447542,0.0125391002529648,0.0151033145476592
21,21.0,0.0004009135972767,0.0003635418089337,0.0150363420448638,0.0126687316841781,0.0151406557074593
22,22.0,0.0003500870936428,0.0003242917792166,0.0141346092380338,0.011764962507339,0.014239012335311
23,23.0,0.0003465997621984,0.000307328727924,0.0136729042130647,0.0118323201319388,0.0137539976770121
24,24.0,0.0003163550847554,0.0002865072967715,0.0134728584405074,0.0114266140535427,0.0135630133642046
25,25.0,0.000304353536133,0.0002748614108868,0.0131715467148873,0.0117118602141654,0.0132358584475633
26,26.0,0.0002844795167589,0.0002546846853327,0.0129184388802129,0.0114617442512412,0.0129826188131344
27,27.0,0.0002706522550174,0.0002421420849545,0.0126049021277426,0.0115435650157618,0.0126516631725304
