,trn_loss,val_loss,val_rel_err,val_rel_err_o,val_rel_err_h
0,0.01980910742550312,0.010711513261639289,0.09536632723639785,0.09197358229998395,0.09551580367587918
1,0.0074618538877403075,0.005071287605477299,0.06280685646225041,0.06645577751049253,0.06264608828680011
2,0.004735232815285019,0.004238822461629572,0.054818420177262094,0.05924472323418477,0.054623402135477846
3,0.004173874860237972,0.0037213151771298067,0.050081303445951436,0.05212918919108702,0.04999107472316788
4,0.0036725393673711065,0.003037914919412319,0.044242903481653884,0.047129480504261655,0.044115723350350335
5,0.002595045181743048,0.002070938799962152,0.03667457291356392,0.0375240252960083,0.03663714697511759
6,0.0017324038509854566,0.0014732096472556454,0.028955594769875897,0.029848695040368103,0.028916245346030905
7,0.0013677140115976787,0.0012700721339749315,0.025637897253452217,0.02633755503399026,0.025607070719889064
8,0.0011847500448413679,0.001095300852693502,0.023986152768763265,0.0235467891521193,0.0240055098806341
9,0.001035844927120455,0.0009631387231093748,0.02289908593410819,0.02221124516239982,0.022929390909707997
10,0.0009226531023231796,0.0008556311481322813,0.022266348434747264,0.02186254491499508,0.022284138674044638
11,0.0008200811847503963,0.000835805226311374,0.02299467133795779,0.022510155274429382,0.023016017982337832
12,0.0007285353885986655,0.000689270146419476,0.020291517930358223,0.019233037162773074,0.020338152966566582
13,0.0007201039934702915,0.0006243063741962911,0.01937115218626625,0.01810169700932702,0.019427082632418307
14,0.0006003862859476854,0.0005699219469022022,0.018612963750829107,0.017204825681508953,0.01867500430819453
15,0.0006153321296227224,0.0006107356510372221,0.019306528436854917,0.017332577352716327,0.01939349784010586
16,0.0005280530795868386,0.0004878736121696348,0.01711932674826337,0.015223378033226532,0.017202859401462687
17,0.0004759076166999343,0.00045012083146429545,0.01645809443989712,0.01444027709364152,0.016546996827690556
18,0.0004941311343203507,0.000505600633670998,0.018326370206055844,0.016217397382714997,0.01841928856649424
19,0.0004283255196552636,0.00039404372968514646,0.015364478398241468,0.013031433412651615,0.015467269178098835
20,0.0003990520818180059,0.0003712103670804778,0.014995106244754215,0.012539100252964891,0.015103314547659223
21,0.00040091359727670685,0.0003635418089337633,0.015036342044863838,0.012668731684178132,0.015140655707459382
22,0.0003500870936428949,0.00032429177921668953,0.014134609238033847,0.011764962507339088,0.01423901233531105
23,0.0003465997621984904,0.00030732872792400113,0.013672904213064772,0.01183232013193887,0.01375399767701218
24,0.00031635508475544,0.0002865072967715836,0.013472858440507404,0.011426614053542764,0.013563013364204655
25,0.00030435353613306144,0.00027486141088680797,0.013171546714887327,0.01171186021416548,0.013235858447563368
26,0.00028447951675899055,0.0002546846853327803,0.012918438880212988,0.011461744251241244,0.012982618813134467
27,0.00027065225501747727,0.00024214208495450395,0.012604902127742656,0.011543565015761807,0.012651663172530485
28,0.00025658973075737583,0.00022836612301749585,0.01241119742804592,0.01148633889089496,0.01245194549053926
29,0.0002444875030901043,0.0002181002649911509,0.012164311068939705,0.011508055300361166,0.012193224669976296
