,trn_loss,val_loss,val_rel_err,val_rel_err_o,val_rel_err_h
0,0.0170646230661312,0.006363040378741038,0.06732563072583428,0.060627380216243615,0.06762074585368895
1,0.004609653323493847,0.0031264315254498974,0.0469628287304911,0.04523735080244596,0.04703884982427158
2,0.002476372297764314,0.001932262357769526,0.03432661178536246,0.03063847835222461,0.03448910624601792
3,0.00171166298069725,0.0014201420985343557,0.028515694443522147,0.022783845642284806,0.028768231929438646
4,0.00132958324816914,0.001141666047063166,0.0250740531538668,0.020205515610621127,0.02528855421332676
5,0.0011101134678378345,0.000938377650431545,0.02263222988267641,0.018250308434322467,0.022825291327166763
6,0.0009249349941585561,0.0007922367870294352,0.02086767254966575,0.015874101652752815,0.02108768227649304
7,0.0007810990368833065,0.0006764802604108836,0.01956486219617608,0.014993961806936214,0.019766250005140856
8,0.0006740269323990502,0.0005888058346758555,0.01855371553873469,0.013766294795620242,0.01876464273066936
9,0.0005866735188466002,0.0005090482151651119,0.017467946431935017,0.012447221303948762,0.017689153121325886
10,0.0005226515978019019,0.000450166589018969,0.016595133765608127,0.011372610949723527,0.016825231188251154
11,0.00046947523025548695,0.0004051806411068766,0.01588867556463098,0.010588905448411573,0.016122176463185114
12,0.00042764161590654786,0.0003710224422217986,0.015329036096622504,0.009978982798353308,0.015564752392175215
13,0.00039273607749572764,0.0003452327920722106,0.014900769045840897,0.009559894427518555,0.01513608098515094
14,0.00036338995932846783,0.00032683307212163674,0.01461854718985834,0.009368348742563275,0.014849864119076057
15,0.00033838511002567577,0.00031191866644756305,0.014403057459023564,0.009403714948834394,0.014623321880345676
16,0.00031582597863337317,0.00029308742037610543,0.01404119643018398,0.009303041585990714,0.014249953421113362
17,0.0002946282461580346,0.0002724245353262659,0.01359140783402854,0.009102774421370924,0.01378917122884467
18,0.00027610073837893914,0.0002541355566414372,0.013175468265973331,0.008942932294946112,0.013361948231663567
19,0.000259889501492826,0.0002372537285280896,0.012768728135445807,0.008794711975199479,0.012943818199841486
20,0.0002451110385928935,0.00022256025581388812,0.012403865404870483,0.008711810719154854,0.012566532410210102
21,0.000232142267974399,0.00020895816596996867,0.012052532862837242,0.008632016342516667,0.012203236281414507
22,0.00021993972649455697,0.00019609772539283312,0.01170285651893329,0.008530948965268074,0.01184260662441862
23,0.0002084307750252232,0.00018437793339797228,0.011371296306786814,0.008433361472798684,0.011500737982035903
24,0.00019858190805696862,0.0001740448497905109,0.011070394241848646,0.008350359225993247,0.011190235427126372
25,0.00018918544872078159,0.0001648379528590594,0.010794710305560397,0.008245285734665908,0.010907034573283205
26,0.0001808193827377992,0.00015584050165251144,0.010509630213090336,0.008126503062450083,0.010614627639671253
27,0.00017304880287263963,0.00014787435815653718,0.010250644149202149,0.008000063708471221,0.010349801781957407
28,0.00016594837608944793,0.00014076440216487989,0.010014414054590467,0.007882726740759497,0.010108333282514492
29,0.00015938038174083177,0.00013428635660545082,0.009791300593374755,0.007766654179705756,0.009880503729650934
30,0.00015327694775902286,0.00012852614266628727,0.00958788128349161,0.007657786267154238,0.009672919045198392
31,0.00014772980240329098,0.00012344877280681598,0.009406301192939281,0.007569129759490823,0.0094872444448906
32,0.00014262555899510336,0.00011956442114798917,0.009268396312887079,0.007520624205772635,0.009345400940467501
33,0.00013801215657278994,0.000116464371123169,0.009160606265044958,0.0075101055417346125,0.009233325158614811
34,0.00013356438855591801,0.00011503128622399737,0.009125408508063693,0.007587798538525986,0.009193153505693366
